,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Acceleration,Aggression,Agility,Balance,BallControl,Body Type,CAM,CB,CDM,CF,CM,Composure,Contract Valid Until,Crossing,Curve,Dribbling,FKAccuracy,Finishing,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,HeadingAccuracy,Interceptions,International Reputation,Jersey Number,Joined,Jumping,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Loaned From,LongPassing,LongShots,Marking,Penalties,Position,Positioning,Preferred Foot,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,Reactions,Real Face,Release Clause,ST,ShortPassing,ShotPower,Skill Moves,SlidingTackle,SprintSpeed,Stamina,StandingTackle,Strength,Vision,Volleys,Weak Foot,Work Rate
16,211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,94,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€89M,€205K,2092,87,48,91,85,92,Normal,87+3,45+3,58+3,86+3,79+3,84,2022,82,88,92,88,84,5,4,4,5,8,68,32,3,10,"Jul 1, 2015",75,87+3,56+3,45+3,79+3,58+3,86+3,86+3,83+3,87+3,62+3,,75,88,23,86,RW,84,Left,87+3,56+3,45+3,79+3,58+3,86+3,86+3,83+3,87+3,62+3,86,Yes,€153.5M,83+3,87,82,4,20,83,80,20,65,87,88,3,High/ Medium
17,202126,H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,England,https://cdn.sofifa.org/flags/14.png,89,92,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€86M,€205K,2163,68,76,71,71,84,Normal,82+3,60+3,66+3,84+3,79+3,89,2024,75,78,80,68,94,8,10,11,14,11,85,35,3,10,"Jul 1, 2010",78,82+3,62+3,60+3,79+3,66+3,84+3,81+3,86+3,82+3,65+3,,82,85,56,90,ST,93,Right,82+3,62+3,60+3,79+3,66+3,84+3,81+3,86+3,82+3,65+3,91,Yes,€165.6M,86+3,80,88,3,38,72,89,36,84,80,82,4,High/ High
18,194765,A. Griezmann,27,https://cdn.sofifa.org/players/4/19/194765.png,France,https://cdn.sofifa.org/flags/18.png,89,90,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€78M,€145K,2246,88,69,90,80,90,Lean,86+3,61+3,67+3,87+3,80+3,87,2023,82,84,88,78,90,14,8,14,13,14,84,35,4,7,"Jul 28, 2014",90,86+3,67+3,61+3,80+3,67+3,87+3,86+3,86+3,87+3,70+3,,76,82,59,79,RS,91,Left,86+3,67+3,61+3,80+3,67+3,87+3,86+3,86+3,87+3,70+3,90,Yes,€165.8M,86+3,83,80,4,48,85,83,47,62,83,87,3,High/ High
19,192448,M. ter Stegen,26,https://cdn.sofifa.org/players/4/19/192448.png,Germany,https://cdn.sofifa.org/flags/21.png,89,92,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€58M,€240K,1318,38,43,37,43,18,Normal,,,,,,69,2022,15,18,17,12,14,87,85,88,85,90,11,22,3,1,"Jul 1, 2014",79,,,,,,,,,,,,38,10,25,25,GK,11,Right,,,,,,,,,,,85,Yes,€123.3M,,30,22,1,10,50,35,13,79,69,14,4,Medium/ Medium
20,189511,Sergio Busquets,29,https://cdn.sofifa.org/players/4/19/189511.png,Spain,https://cdn.sofifa.org/flags/45.png,89,89,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€51.5M,€315K,2065,50,85,66,52,88,Lean,79+3,82+3,86+3,76+3,83+3,90,2023,62,66,80,68,67,5,8,13,9,13,68,87,4,5,"Sep 1, 2008",66,79+3,78+3,82+3,83+3,86+3,76+3,76+3,71+3,74+3,79+3,,82,54,90,60,CDM,77,Right,79+3,78+3,82+3,83+3,86+3,76+3,76+3,71+3,74+3,79+3,87,Yes,€105.6M,71+3,89,61,3,80,52,86,86,77,87,44,3,Medium/ Medium
21,179813,E. Cavani,31,https://cdn.sofifa.org/players/4/19/179813.png,Uruguay,https://cdn.sofifa.org/flags/60.png,89,89,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€60M,€200K,2161,75,84,77,59,82,Lean,80+3,63+3,65+3,83+3,75+3,82,2020,70,77,80,76,89,12,5,13,13,10,89,48,4,9,"Jul 16, 2013",88,80+3,65+3,63+3,75+3,65+3,83+3,79+3,85+3,81+3,67+3,,52,79,52,85,ST,93,Right,80+3,65+3,63+3,75+3,65+3,83+3,79+3,85+3,81+3,67+3,91,Yes,€111M,85+3,78,87,3,39,76,92,45,78,77,90,3,High/ High
22,178603,M. Hummels,29,https://cdn.sofifa.org/players/4/19/178603.png,Germany,https://cdn.sofifa.org/flags/21.png,89,89,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€51.5M,€165K,2059,62,69,63,60,81,Normal,72+3,86+3,84+3,70+3,78+3,91,2021,64,65,68,53,55,15,6,10,5,6,87,92,4,5,"Jul 1, 2016",68,72+3,81+3,86+3,78+3,84+3,70+3,71+3,69+3,69+3,79+3,,85,51,89,68,LCB,56,Right,72+3,81+3,86+3,78+3,84+3,70+3,71+3,69+3,69+3,79+3,88,Yes,€85M,69+3,82,71,3,90,68,66,92,85,79,60,3,High/ Medium
23,168542,David Silva,32,https://cdn.sofifa.org/players/4/19/168542.png,Spain,https://cdn.sofifa.org/flags/45.png,89,89,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€51.5M,€275K,2097,69,57,92,90,94,Normal,86+3,56+3,70+3,83+3,84+3,92,2020,84,82,89,76,74,6,15,7,6,12,54,50,4,21,"Jul 14, 2010",64,86+3,64+3,56+3,84+3,70+3,83+3,84+3,76+3,84+3,69+3,,84,73,59,75,LCM,88,Left,86+3,64+3,56+3,84+3,70+3,83+3,84+3,76+3,84+3,69+3,88,Yes,€95.3M,76+3,92,71,4,29,64,78,51,52,92,80,2,High/ Medium
24,153079,S. Agüero,30,https://cdn.sofifa.org/players/4/19/153079.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,89,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€64.5M,€300K,2100,88,65,86,91,89,Stocky,85+3,47+3,55+3,87+3,75+3,90,2021,70,82,89,72,93,13,15,6,11,14,74,24,4,10,"Jul 28, 2011",81,85+3,53+3,47+3,75+3,55+3,87+3,83+3,86+3,85+3,58+3,,63,82,30,83,ST,92,Right,85+3,53+3,47+3,75+3,55+3,87+3,83+3,86+3,85+3,58+3,89,Yes,€119.3M,86+3,81,88,4,12,80,76,20,73,83,85,4,High/ Medium
25,138956,G. Chiellini,33,https://cdn.sofifa.org/players/4/19/138956.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€27M,€215K,1839,63,92,54,55,57,Normal,54+3,86+3,76+3,54+3,60+3,84,2020,58,60,58,31,33,3,3,2,4,3,84,88,4,3,"Jul 1, 2005",89,54+3,77+3,86+3,60+3,76+3,54+3,56+3,57+3,54+3,74+3,,59,49,93,50,LCB,28,Left,54+3,77+3,86+3,60+3,76+3,54+3,56+3,57+3,54+3,74+3,82,Yes,€44.6M,57+3,59,78,2,90,72,65,93,89,50,45,2,Medium/ High
26,209331,M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,Egypt,https://cdn.sofifa.org/flags/111.png,88,89,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€69.5M,€255K,2146,94,63,91,88,88,PLAYER_BODY_TYPE_25,86+3,57+3,66+3,86+3,80+3,91,2023,78,83,89,60,90,14,14,9,11,14,59,55,3,11,"Jul 1, 2017",68,86+3,66+3,57+3,80+3,66+3,86+3,86+3,83+3,87+3,70+3,,72,83,38,61,RW,90,Left,86+3,66+3,57+3,80+3,66+3,86+3,86+3,83+3,87+3,70+3,91,Yes,€133.8M,83+3,82,77,4,41,91,84,43,70,82,73,3,High/ Medium
27,200145,Casemiro,26,https://cdn.sofifa.org/players/4/19/200145.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€61.5M,€285K,2170,59,87,62,66,78,Normal,74+3,85+3,85+3,73+3,80+3,84,2021,52,59,69,74,59,13,14,16,12,12,76,87,3,14,"Jul 11, 2013",88,74+3,79+3,85+3,80+3,85+3,73+3,71+3,72+3,69+3,78+3,,82,79,88,66,CDM,69,Right,74+3,79+3,85+3,80+3,85+3,73+3,71+3,72+3,69+3,78+3,84,Yes,€130.7M,72+3,85,86,2,87,65,87,90,89,77,53,3,Medium/ High
28,198710,J. Rodríguez,26,https://cdn.sofifa.org/players/4/19/198710.png,Colombia,https://cdn.sofifa.org/flags/56.png,88,89,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,€69.5M,€315K,2175,75,64,83,76,90,Normal,85+3,58+3,68+3,84+3,81+3,87,"Jun 30, 2019",90,89,85,86,83,15,15,15,5,14,62,55,4,11,,54,85+3,65+3,58+3,81+3,68+3,84+3,83+3,80+3,84+3,69+3,Real Madrid,83,92,52,81,CAM,80,Left,85+3,65+3,58+3,81+3,68+3,84+3,83+3,80+3,84+3,69+3,85,Yes,,80+3,89,86,4,44,69,70,41,68,89,90,3,Medium/ Medium
29,198219,L. Insigne,27,https://cdn.sofifa.org/players/4/19/198219.png,Italy,https://cdn.sofifa.org/flags/27.png,88,88,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€62M,€165K,2017,94,34,94,93,93,Normal,86+3,44+3,58+3,85+3,78+3,83,2022,86,87,90,77,77,8,4,14,9,10,56,26,3,24,"Jul 1, 2010",53,86+3,58+3,44+3,78+3,58+3,85+3,86+3,78+3,86+3,63+3,,78,84,51,61,LS,83,Right,86+3,58+3,44+3,78+3,58+3,85+3,86+3,78+3,86+3,63+3,83,Yes,€105.4M,78+3,85,75,4,22,86,75,24,44,87,74,3,High/ Medium
30,197781,Isco,26,https://cdn.sofifa.org/players/4/19/197781.png,Spain,https://cdn.sofifa.org/flags/45.png,88,91,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€73.5M,€315K,2137,75,58,87,90,95,Normal,86+3,63+3,73+3,83+3,83+3,86,2022,75,88,94,76,79,10,8,12,15,6,55,64,3,22,"Jul 3, 2013",64,86+3,68+3,63+3,83+3,73+3,83+3,83+3,76+3,84+3,72+3,,83,87,60,76,CAM,78,Right,86+3,68+3,63+3,83+3,73+3,83+3,83+3,76+3,84+3,72+3,77,Yes,€156.2M,76+3,89,69,4,51,69,70,64,59,89,65,3,High/ Medium
31,195864,P. Pogba,25,https://cdn.sofifa.org/players/4/19/195864.png,France,https://cdn.sofifa.org/flags/18.png,88,91,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€73M,€255K,2254,71,78,74,64,90,Normal,84+3,74+3,79+3,83+3,84+3,87,2021,80,84,87,82,73,5,6,2,4,3,73,68,4,6,"Aug 9, 2016",85,84+3,75+3,74+3,84+3,79+3,83+3,83+3,81+3,82+3,77+3,,90,81,67,81,LCM,82,Right,84+3,75+3,74+3,84+3,79+3,83+3,83+3,81+3,82+3,77+3,81,Yes,€140.5M,81+3,87,90,5,68,79,88,70,89,87,85,4,High/ Low
32,190460,C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,Denmark,https://cdn.sofifa.org/flags/13.png,88,91,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€73.5M,€205K,2117,75,46,79,81,91,Lean,86+3,57+3,71+3,84+3,85+3,88,2020,88,86,84,87,80,9,14,7,7,6,52,56,3,23,"Aug 30, 2013",50,86+3,66+3,57+3,85+3,71+3,84+3,85+3,79+3,84+3,71+3,,88,89,59,67,RM,83,Right,86+3,66+3,57+3,85+3,71+3,84+3,85+3,79+3,84+3,71+3,88,Yes,€141.5M,79+3,91,84,4,22,73,92,57,58,91,77,5,High/ Medium
33,189242,Coutinho,26,https://cdn.sofifa.org/players/4/19/189242.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,89,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€69.5M,€340K,2175,89,59,92,93,92,Normal,87+3,58+3,70+3,85+3,83+3,85,2023,79,91,91,86,79,12,7,9,14,6,48,49,3,7,"Jan 6, 2018",59,87+3,67+3,58+3,83+3,70+3,85+3,85+3,79+3,86+3,71+3,,83,93,55,70,LW,84,Right,87+3,67+3,58+3,83+3,70+3,85+3,85+3,79+3,86+3,71+3,83,Yes,€147.7M,79+3,88,83,5,47,75,79,54,61,90,75,4,High/ High
34,188567,P. Aubameyang,29,https://cdn.sofifa.org/players/4/19/188567.png,Gabon,https://cdn.sofifa.org/flags/115.png,88,88,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€59M,€265K,2068,93,43,76,70,82,Lean,81+3,52+3,58+3,83+3,73+3,85,2021,77,79,79,74,88,6,9,15,9,9,79,48,3,14,"Jan 31, 2018",79,81+3,61+3,52+3,73+3,58+3,83+3,81+3,84+3,83+3,64+3,,64,79,27,76,LM,90,Right,81+3,61+3,52+3,73+3,58+3,83+3,81+3,84+3,83+3,64+3,87,Yes,€112.1M,84+3,77,82,4,36,95,76,25,76,77,86,4,Medium/ Low
35,176676,Marcelo,30,https://cdn.sofifa.org/players/4/19/176676.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€43M,€285K,2279,83,84,86,86,92,Normal,84+3,81+3,83+3,83+3,84+3,86,2022,90,85,90,67,70,12,5,5,5,9,75,85,4,12,"Jan 1, 2007",76,84+3,84+3,81+3,84+3,83+3,83+3,85+3,80+3,84+3,85+3,,76,70,71,59,LB,85,Left,84+3,84+3,81+3,84+3,83+3,83+3,85+3,80+3,84+3,85+3,88,Yes,€88.2M,80+3,84,83,5,86,82,91,85,78,82,54,4,High/ Low
36,173731,G. Bale,28,https://cdn.sofifa.org/players/4/19/173731.png,Wales,https://cdn.sofifa.org/flags/50.png,88,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€60M,€355K,2279,94,65,82,65,85,Lean,85+3,67+3,70+3,86+3,80+3,86,2022,87,90,87,87,86,15,15,11,5,6,84,59,4,11,"Sep 2, 2013",87,85+3,71+3,67+3,80+3,70+3,86+3,85+3,86+3,86+3,73+3,,80,91,54,76,RW,85,Left,85+3,71+3,67+3,80+3,70+3,86+3,85+3,86+3,86+3,73+3,85,Yes,€123M,86+3,85,92,4,52,95,75,55,80,79,85,3,High/ Medium
37,167948,H. Lloris,31,https://cdn.sofifa.org/players/4/19/167948.png,France,https://cdn.sofifa.org/flags/18.png,88,88,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,€36M,€150K,1335,65,31,55,54,34,Lean,,,,,,65,,13,11,10,10,10,88,84,68,83,92,10,27,,,,74,,,,,,,,,,,,50,14,29,40,GK,10,Left,,,,,,,,,,,85,Yes,€66.6M,,50,23,1,18,62,41,10,43,30,11,1,Medium/ Medium
38,167664,G. Higuaín,30,https://cdn.sofifa.org/players/4/19/167664.png,Argentina,https://cdn.sofifa.org/flags/52.png,88,88,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€57M,€245K,1965,73,50,75,69,85,Normal,80+3,48+3,53+3,83+3,71+3,86,"Jun 30, 2019",68,74,84,62,92,5,12,7,5,10,80,20,4,9,,79,80+3,51+3,48+3,71+3,53+3,83+3,78+3,85+3,81+3,55+3,Juventus,59,80,35,70,ST,92,Right,80+3,51+3,48+3,71+3,53+3,83+3,78+3,85+3,81+3,55+3,86,Yes,,85+3,75,86,3,18,73,70,22,85,74,90,4,High/ Medium
39,164240,Thiago Silva,33,https://cdn.sofifa.org/players/4/19/164240.png,Brazil,https://cdn.sofifa.org/flags/54.png,88,88,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€24M,€165K,2077,70,76,68,68,80,Normal,70+3,84+3,82+3,67+3,75+3,81,2020,60,61,62,64,38,9,12,5,9,10,81,89,4,2,"Jul 1, 2012",90,70+3,80+3,84+3,75+3,82+3,67+3,69+3,66+3,66+3,78+3,,80,68,88,60,RCB,59,Right,70+3,80+3,84+3,75+3,82+3,67+3,69+3,66+3,66+3,78+3,82,Yes,€44.4M,66+3,80,71,2,85,72,74,89,82,72,63,3,Medium/ High
40,162835,S. Handanovič,33,https://cdn.sofifa.org/players/4/19/162835.png,Slovenia,https://cdn.sofifa.org/flags/44.png,88,88,Inter,https://cdn.sofifa.org/teams/2/light/44.png,€30M,€110K,1262,51,25,47,36,16,Normal,,,,,,69,,12,12,12,14,10,87,86,69,89,89,10,22,,,,78,,,,,,,,,,,,34,19,25,23,GK,12,Right,,,,,,,,,,,83,Yes,€51M,,36,22,1,13,55,41,10,71,41,12,2,Medium/ Medium
